DateTime,Position,Height (Feet),Width (Feet),Density (Gallons)
2026-05-12_09:23:36,"40.736980056390166, -81.9021332077682",8.04,5.22,0.03
2026-05-12_09:23:37,"40.736971171572804, -81.90218752250075",9.71,5.22,0.03
2026-05-12_09:23:37,"40.736965807154775, -81.90213287249207",8.4,5.22,0.03
2026-05-12_09:23:38,"40.73695725761354, -81.9021868519485",10.5,5.18,0.03
2026-05-12_09:23:39,"40.736952563747764, -81.90213253721595",8.33,5.12,0.03
2026-05-12_09:23:40,"40.736942840740085, -81.90218651667237",10.14,5.09,0.03
2026-05-12_09:23:40,"40.73693814687431, -81.90213253721595",8.56,5.09,0.03
2026-05-12_09:23:42,"40.73692859150469, -81.9021868519485",10.56,5.28,0.03
2026-05-12_09:23:42,"40.73692322708666, -81.90213287249207",8.53,5.18,0.03
2026-05-12_09:23:43,"40.736915515735745, -81.90218718722463",9.74,3.64,0.02
2026-05-12_09:23:43,"40.73690981604159, -81.90213287249207",11.09,5.25,0.03
2026-05-12_09:23:44,"40.73690260760486, -81.90218718722463",8.79,3.71,0.02
2026-05-12_09:23:45,"40.73689171113074, -81.90213354304433",7.81,4.56,0.02
2026-05-12_09:23:46,"40.73688902892172, -81.90218752250075",7.45,3.77,0.02
2026-05-12_09:23:47,"40.73687410913408, -81.90218718722463",10.01,5.15,0.03
2026-05-12_09:23:48,"40.73687461204827, -81.90213287249207",8.33,5.02,0.03
2026-05-12_09:23:48,"40.736863715574145, -81.90218718722463",8.86,3.18,0.02
2026-05-12_09:23:50,"40.73685080744326, -81.90218819305301",9.61,3.97,0.03
2026-05-12_09:24:02,"40.7367433514446, -81.90213488414884",9.12,5.09,0.03
2026-05-12_09:24:03,"40.736735137179494, -81.90219020470977",9.88,3.54,0.02
2026-05-12_09:24:04,"40.73672826401889, -81.90213622525334",8.86,5.15,0.04
2026-05-12_09:24:04,"40.73672172613442, -81.9021905399859",10.2,4.76,0.03
2026-05-12_09:24:05,"40.73671435005963, -81.90213656052947",9.12,5.12,0.03
2026-05-12_09:24:06,"40.73670580051839, -81.90219020470977",9.91,5.38,0.03
2026-05-12_09:24:07,"40.73669976554811, -81.90213622525334",8.14,5.12,0.03
2026-05-12_09:24:08,"40.736692724749446, -81.90219020470977",10.24,4.86,0.03
2026-05-12_09:24:08,"40.736684845760465, -81.90213656052947",9.19,5.35,0.04
2026-05-12_09:24:09,"40.736677469685674, -81.90219087526202",9.88,5.25,0.03
2026-05-12_09:24:10,"40.73666959069669, -81.90213723108172",8.6,5.05,0.03
2026-05-12_09:24:11,"40.73666271753609, -81.90219154581428",10.53,5.22,0.03
2026-05-12_09:24:12,"40.73665198870003, -81.9021918810904",10.24,2.17,0.01
2026-05-12_09:24:13,"40.736645786091685, -81.90213756635785",8.6,5.15,0.03
2026-05-12_09:24:14,"40.73663572780788, -81.9021918810904",10.63,5.22,0.03
2026-05-12_09:24:15,"40.73663120158017, -81.90213790163398",11.78,5.35,0.03
2026-05-12_09:24:16,"40.7366209756583, -81.90219221636653",11.09,5.35,0.03
2026-05-12_09:24:16,"40.73661661706865, -81.90213790163398",10.56,5.35,0.04
2026-05-12_09:24:17,"40.736606223508716, -81.90219221636653",11.45,5.25,0.03
2026-05-12_09:24:18,"40.73660152964294, -81.9021382369101",7.64,5.28,0.02
2026-05-12_09:24:19,"40.73659264482558, -81.90219288691878",11.35,5.31,0.03
2026-05-12_09:24:20,"40.73658744804561, -81.90213857218623",10.53,5.31,0.03
2026-05-12_09:24:20,"40.73657940141857, -81.90219288691878",8.2,1.64,0.0
2026-05-12_09:24:21,"40.736574372276664, -81.9021382369101",8.6,5.31,0.03
2026-05-12_09:24:22,"40.7365654874593, -81.90219255164266",9.84,3.15,0.02
2026-05-12_09:24:23,"40.73656096123159, -81.90213790163398",8.79,5.25,0.04
2026-05-12_09:24:24,"40.73655107058585, -81.90219255164266",10.01,5.22,0.03
2026-05-12_09:24:25,"40.73654620908201, -81.90213790163398",8.89,5.09,0.02
2026-05-12_09:24:26,"40.7365361507982, -81.9021918810904",10.53,5.15,0.03
2026-05-12_09:24:26,"40.736532462760806, -81.90213756635785",9.09,5.15,0.02
2026-05-12_09:24:27,"40.73652190156281, -81.9021918810904",9.51,5.12,0.03
2026-05-12_09:24:28,"40.73651854880154, -81.90213756635785",9.71,5.12,0.03
2026-05-12_09:24:29,"40.736507484689355, -81.90219154581428",9.58,5.12,0.03
2026-05-12_09:24:30,"40.736504131928086, -81.90213756635785",8.6,5.31,0.03
2026-05-12_09:24:31,"40.73649340309203, -81.90219154581428",8.79,5.09,0.02
2026-05-12_09:24:31,"40.73648954741657, -81.90213756635785",8.73,5.12,0.03
2026-05-12_09:24:33,"40.736480159685016, -81.9021918810904",8.73,5.12,0.03
2026-05-12_09:24:33,"40.736475298181176, -81.90213790163398",9.51,5.12,0.03
2026-05-12_09:24:34,"40.73646607808769, -81.90219255164266",9.22,5.12,0.03
2026-05-12_09:24:35,"40.73646138422191, -81.90213857218623",9.48,5.15,0.03
2026-05-12_09:24:36,"40.73645199649036, -81.90219288691878",8.79,5.18,0.03
2026-05-12_09:24:36,"40.73644361458719, -81.90219355747104",5.97,1.02,0.01
2026-05-12_09:24:36,"40.73644730262458, -81.90213890746236",8.89,5.22,0.03
2026-05-12_09:24:38,"40.73643238283694, -81.90219355747104",8.33,4.23,0.03
2026-05-12_09:24:38,"40.73643338866532, -81.90213924273849",8.83,5.25,0.03
2026-05-12_09:24:40,"40.73641779832542, -81.90213991329074",10.1,5.31,0.03
2026-05-12_09:24:40,"40.73641913942993, -81.90219422802329",9.09,4.92,0.02
2026-05-12_09:24:41,"40.736406901851296, -81.90214024856687",10.14,2.72,0.02
2026-05-12_09:24:42,"40.736398017033935, -81.90219489857554",8.66,5.18,0.02
2026-05-12_09:25:12,"40.73640455491841, -81.90208727493882",8.46,5.18,0.02
2026-05-12_09:25:12,"40.7364032138139, -81.90203296020627",7.68,5.18,0.03
2026-05-12_09:25:13,"40.736417630687356, -81.90208727493882",8.33,3.81,0.02
2026-05-12_09:25:14,"40.736418133601546, -81.90203296020627",9.15,5.05,0.03
2026-05-12_09:25:14,"40.736428862437606, -81.90208727493882",6.69,3.15,0.01
2026-05-12_09:25:15,"40.73643305338919, -81.90203262493014",9.35,5.38,0.03
2026-05-12_09:25:16,"40.73644529096782, -81.9020869396627",8.07,5.12,0.03
2026-05-12_09:25:17,"40.73644897900522, -81.90203296020627",8.79,5.02,0.03
2026-05-12_09:25:18,"40.73645736090839, -81.90208727493882",9.32,5.05,0.03
2026-05-12_09:25:18,"40.73646222241223, -81.9020332954824",9.09,5.05,0.03
2026-05-12_09:25:19,"40.73647043667734, -81.90208727493882",9.65,3.9,0.02
2026-05-12_09:25:20,"40.7364756334573, -81.90203262493014",9.65,5.02,0.03
2026-05-12_09:25:21,"40.73648518882692, -81.90208660438657",10.04,5.02,0.03
2026-05-12_09:25:21,"40.73649021796882, -81.90203228965402",9.25,5.15,0.03
2026-05-12_09:25:22,"40.7364980969578, -81.90208626911044",10.89,4.23,0.03
2026-05-12_09:25:22,"40.73650279082358, -81.90203195437789",8.86,5.09,0.04
2026-05-12_09:25:23,"40.73651318438351, -81.90208626911044",10.27,5.18,0.03
2026-05-12_09:25:24,"40.73651620186865, -81.90203195437789",8.92,5.02,0.04
2026-05-12_09:25:25,"40.736530451104045, -81.90203161910176",9.61,5.41,0.04
2026-05-12_09:25:26,"40.73653933592141, -81.90208626911044",9.58,5.22,0.03
2026-05-12_09:25:27,"40.73654520325363, -81.90203195437789",10.3,5.35,0.04
2026-05-12_09:25:28,"40.73655425570905, -81.90208559855819",10.63,5.35,0.03
2026-05-12_09:25:29,"40.73655945248902, -81.90203094854951",9.88,5.28,0.03
2026-05-12_09:25:29,"40.736564146354795, -81.90208492800593",6.36,2.0,0.01
2026-05-12_09:25:30,"40.7365742046386, -81.90203027799726",10.01,5.22,0.03
2026-05-12_09:25:31,"40.73658526875079, -81.9020845927298",8.53,5.35,0.03
2026-05-12_09:25:32,"40.73658845387399, -81.90202994272113",10.24,5.18,0.03
2026-05-12_09:25:32,"40.73659683577716, -81.9020845927298",9.48,2.62,0.02
2026-05-12_09:25:33,"40.73660220019519, -81.90203027799726",10.73,5.12,0.04
2026-05-12_09:25:34,"40.736610582098365, -81.9020845927298",10.3,5.09,0.03
2026-05-12_09:25:35,"40.73661711998284, -81.90203027799726",11.06,5.09,0.04
2026-05-12_09:25:36,"40.73662449605763, -81.9020845927298",9.91,5.05,0.03
2026-05-12_09:25:36,"40.7366310339421, -81.90203061327338",10.76,5.05,0.03
2026-05-12_09:25:37,"40.73663908056915, -81.90208425745368",10.96,5.09,0.03
2026-05-12_09:25:38,"40.73664360679686, -81.90202994272113",10.63,5.12,0.04
2026-05-12_09:25:39,"40.736652659252286, -81.90208425745368",8.89,5.15,0.03
2026-05-12_09:25:39,"40.73665785603225, -81.90202994272113",10.86,5.15,0.03
2026-05-12_09:25:40,"40.7366659026593, -81.90208425745368",9.15,5.09,0.03
2026-05-12_09:25:41,"40.73667176999152, -81.90202994272113",9.28,5.09,0.04
2026-05-12_09:25:42,"40.73667981661856, -81.90208425745368",9.61,5.05,0.03
2026-05-12_09:25:43,"40.73668568395078, -81.90202994272113",8.89,5.05,0.03
2026-05-12_09:25:44,"40.73669356293976, -81.9020845927298",9.42,5.02,0.03
2026-05-12_09:25:44,"40.736697083339095, -81.90202927216887",8.6,5.05,0.04
2026-05-12_09:25:45,"40.7367089856416, -81.9020832516253",9.38,5.09,0.03
2026-05-12_09:25:46,"40.73671300895512, -81.90202994272113",8.5,5.09,0.03
2026-05-12_09:25:47,"40.73672072030604, -81.90208425745368",10.37,5.05,0.04
2026-05-12_09:25:47,"40.73672658763826, -81.90203061327338",10.3,5.02,0.03
2026-05-12_09:25:48,"40.736734634265304, -81.90208492800593",9.19,5.02,0.03
2026-05-12_09:25:49,"40.7367401663214, -81.90203061327338",9.38,5.05,0.03
2026-05-12_09:25:50,"40.73674653656781, -81.9020845927298",8.63,4.3,0.02
2026-05-12_09:25:50,"40.73675257153809, -81.90203027799726",4.46,3.02,0.01
2026-05-12_09:26:00,"40.73683789931238, -81.90208425745368",9.06,5.09,0.03
2026-05-12_09:26:02,"40.736853489652276, -81.90208358690143",9.97,5.35,0.03
2026-05-12_09:26:05,"40.736885173246264, -81.90208291634917",11.48,5.05,0.03
2026-05-12_09:26:07,"40.736897913739085, -81.90208291634917",9.81,5.05,0.03
2026-05-12_09:26:08,"40.73691333644092, -81.90208258107305",9.38,5.38,0.03
2026-05-12_09:26:10,"40.736928256228566, -81.90208157524467",9.61,5.35,0.04
2026-05-12_09:26:12,"40.73694267310202, -81.90208123996854",9.94,5.25,0.04
2026-05-12_09:26:13,"40.736956084147096, -81.90208123996854",6.86,0.89,0.0
2026-05-12_09:26:15,"40.736970668658614, -81.90208157524467",9.15,5.25,0.03
2026-05-12_09:26:17,"40.73698475025594, -81.90208157524467",9.42,5.02,0.03
2026-05-12_09:26:17,"40.736987264826894, -81.90202726051211",10.3,5.25,0.03
2026-05-12_09:26:18,"40.736998999491334, -81.90208090469241",9.65,5.31,0.04
2026-05-12_09:26:19,"40.73700520209968, -81.90202658995986",10.37,5.05,0.03
2026-05-12_09:26:20,"40.737013751640916, -81.90208023414016",9.28,5.31,0.03
2026-05-12_09:26:21,"40.737018613144755, -81.90202558413148",10.99,5.31,0.03
2026-05-12_09:26:22,"40.73702816851437, -81.9020795635879",9.09,4.66,0.03
2026-05-12_09:26:23,"40.73703336529434, -81.90202491357923",10.1,5.28,0.03
2026-05-12_09:26:24,"40.73704828508198, -81.90202491357923",9.32,5.35,0.04
2026-05-12_09:26:25,"40.737053817138076, -81.90207922831178",10.76,5.35,0.03
2026-05-12_09:26:26,"40.737063037231565, -81.90202491357923",10.07,5.22,0.03
2026-05-12_09:26:26,"40.737068401649594, -81.90207922831178",9.28,5.35,0.03
2026-05-12_09:26:28,"40.73707711882889, -81.90202491357923",10.27,5.22,0.03
2026-05-12_09:26:28,"40.73708382435143, -81.90207922831178",8.63,5.22,0.03
2026-05-12_09:26:29,"40.737091368064284, -81.9020245783031",10.17,5.25,0.03
2026-05-12_09:26:30,"40.737098241224885, -81.9020782224834",7.41,5.22,0.04
2026-05-12_09:26:30,"40.73710176162422, -81.90202390775084",8.92,2.95,0.02
2026-05-12_09:26:32,"40.737111484631896, -81.90207788720727",8.46,5.15,0.03
2026-05-12_09:26:32,"40.737115843221545, -81.90202390775084",8.89,5.15,0.03
2026-05-12_09:26:33,"40.73712489567697, -81.9020782224834",8.83,5.18,0.03
2026-05-12_09:26:34,"40.737130427733064, -81.90202390775084",9.35,5.18,0.03
2026-05-12_09:26:35,"40.737138809636235, -81.9020782224834",9.61,5.22,0.02
2026-05-12_09:26:36,"40.737145179882646, -81.90202390775084",9.09,5.22,0.03
2026-05-12_09:26:36,"40.737151550129056, -81.9020782224834",8.86,3.58,0.02
2026-05-12_09:26:36,"40.73715523816645, -81.90202390775084",7.84,2.23,0.02
2026-05-12_09:26:38,"40.73716479353607, -81.90207855775952",8.73,5.02,0.03
2026-05-12_09:26:38,"40.737167140468955, -81.90202424302697",9.88,4.63,0.02
2026-05-12_09:26:40,"40.73717770166695, -81.9020782224834",9.19,4.43,0.02
2026-05-12_09:26:40,"40.7371820602566, -81.90202390775084",8.6,3.22,0.02
2026-05-12_09:27:10,"40.73717569001019, -81.90196691080928",10.04,5.22,0.04
2026-05-12_09:27:10,"40.737172001972795, -81.90191259607673",7.58,5.35,0.02
2026-05-12_09:27:11,"40.7371595967561, -81.9019122608006",7.61,3.22,0.02
2026-05-12_09:27:11,"40.73716009967029, -81.90196657553315",8.89,5.15,0.03
2026-05-12_09:27:13,"40.737144174054265, -81.90196657553315",9.09,5.05,0.03
2026-05-12_09:27:14,"40.73714182712138, -81.9019122608006",8.46,5.31,0.03
2026-05-12_09:27:15,"40.73712925426662, -81.90191293135285",8.5,3.25,0.02
2026-05-12_09:27:15,"40.73712891899049, -81.9019672460854",8.92,5.25,0.03
2026-05-12_09:27:16,"40.73711953125894, -81.9019672460854",7.25,1.25,0.01
2026-05-12_09:27:16,"40.73711718432605, -81.90191326662898",8.23,4.36,0.02
2026-05-12_09:27:17,"40.737108467146754, -81.90196791663766",9.28,5.12,0.03
2026-05-12_09:27:18,"40.737102599814534, -81.90191360190511",8.1,5.15,0.02
2026-05-12_09:27:19,"40.7370940502733, -81.90196791663766",8.79,5.25,0.03
2026-05-12_09:27:20,"40.73708818294108, -81.90191360190511",6.86,5.15,0.02
2026-05-12_09:27:21,"40.73707929812372, -81.90196758136153",9.84,5.28,0.03
2026-05-12_09:27:21,"40.7370734307915, -81.90191326662898",7.55,5.28,0.03
2026-05-12_09:27:22,"40.737066054716706, -81.90196758136153",8.76,3.9,0.02
2026-05-12_09:27:22,"40.737062031403184, -81.90191360190511",7.25,3.02,0.02
2026-05-12_09:27:24,"40.737050967291, -81.90196758136153",9.88,5.15,0.03
2026-05-12_09:27:24,"40.73704962618649, -81.90191326662898",7.97,5.28,0.04
2026-05-12_09:27:26,"40.737036215141416, -81.90196791663766",10.27,5.31,0.03
2026-05-12_09:27:26,"40.73703386820853, -81.90191360190511",7.09,5.35,0.03
2026-05-12_09:27:27,"40.73702129535377, -81.90196858718991",10.43,5.35,0.03
2026-05-12_09:27:27,"40.73701844550669, -81.90191460773349",7.02,5.35,0.03
2026-05-12_09:27:29,"40.737006878480315, -81.9019695930183",10.27,5.38,0.03
2026-05-12_09:27:29,"40.737003022804856, -81.90191561356187",8.53,5.38,0.03
2026-05-12_09:27:30,"40.73699246160686, -81.90197026357055",8.63,5.02,0.03
2026-05-12_09:27:31,"40.7369886059314, -81.901915948838",7.71,5.02,0.03
2026-05-12_09:27:32,"40.7369767036289, -81.901915948838",6.69,3.48,0.02
2026-05-12_09:27:32,"40.73697770945728, -81.90197026357055",10.43,5.02,0.03
2026-05-12_09:27:34,"40.73696329258382, -81.90197026357055",8.6,5.38,0.03
2026-05-12_09:27:34,"40.736962454393506, -81.901915948838",7.68,5.38,0.03
2026-05-12_09:27:35,"40.73694904334843, -81.90196992829442",10.83,5.31,0.04
2026-05-12_09:27:35,"40.7369473669678, -81.901915948838",7.41,5.18,0.03
2026-05-12_09:27:37,"40.73693345300853, -81.90196992829442",10.04,5.31,0.03
2026-05-12_09:27:37,"40.736932614818215, -81.90191561356187",8.01,5.31,0.03
2026-05-12_09:27:38,"40.736920880153775, -81.90191527828574",6.14,2.69,0.01
2026-05-12_09:27:39,"40.736918868497014, -81.9019695930183",9.12,4.99,0.03
2026-05-12_09:27:40,"40.73690881021321, -81.90191527828574",8.17,5.28,0.03
2026-05-12_09:27:40,"40.73690545745194, -81.90196925774217",8.89,5.05,0.03
2026-05-12_09:27:42,"40.73689087294042, -81.9019695930183",9.71,5.09,0.03
2026-05-12_09:27:42,"40.73689087294042, -81.90191527828574",7.94,5.22,0.03
2026-05-12_09:27:43,"40.73687662370503, -81.90196992829442",9.25,5.15,0.03
2026-05-12_09:27:43,"40.73687612079084, -81.90191561356187",7.74,5.15,0.03
2026-05-12_09:27:45,"40.73686237446964, -81.90196992829442",9.25,5.18,0.04
2026-05-12_09:27:45,"40.736861703917384, -81.90191561356187",7.81,5.18,0.03
2026-05-12_09:27:46,"40.73684795759618, -81.90196992829442",9.25,5.18,0.03
2026-05-12_09:27:46,"40.73684728704393, -81.90191561356187",7.61,4.79,0.02
2026-05-12_09:27:47,"40.736836390569806, -81.90196925774217",8.46,2.33,0.01
2026-05-12_09:27:59,"40.73673547245562, -81.901915948838",9.32,5.09,0.03
2026-05-12_09:27:59,"40.736735640093684, -81.90196992829442",10.47,5.22,0.03
2026-05-12_09:28:00,"40.73672189377248, -81.90191628411412",8.96,5.15,0.04
2026-05-12_09:28:00,"40.7367208879441, -81.90197059884667",9.91,5.15,0.04
2026-05-12_09:28:02,"40.736707812175155, -81.90191695466638",8.83,5.18,0.04
2026-05-12_09:28:02,"40.73670697398484, -81.90197126939893",12.07,5.18,0.03
2026-05-12_09:28:03,"40.73669356293976, -81.90191695466638",8.4,5.18,0.04
2026-05-12_09:28:03,"40.736692724749446, -81.90197126939893",10.56,5.18,0.03
2026-05-12_09:28:05,"40.73668015189469, -81.9019172899425",7.19,5.18,0.03
2026-05-12_09:28:05,"40.736678475514054, -81.90197160467505",9.71,5.18,0.03
2026-05-12_09:28:06,"40.73666539974511, -81.9019172899425",8.83,5.15,0.04
2026-05-12_09:28:06,"40.73666472919285, -81.90197160467505",9.25,5.15,0.03
2026-05-12_09:28:08,"40.73665131814778, -81.9019172899425",9.28,5.12,0.04
2026-05-12_09:28:08,"40.73665081523359, -81.90197160467505",11.02,5.12,0.03
2026-05-12_09:28:09,"40.73663690127432, -81.90191762521863",8.73,5.09,0.04
2026-05-12_09:28:10,"40.73663690127432, -81.90197160467505",11.19,4.95,0.03
2026-05-12_09:28:11,"40.73662315495312, -81.90191796049476",9.28,5.09,0.04
2026-05-12_09:28:11,"40.73662164621055, -81.90197227522731",11.61,5.09,0.03
2026-05-12_09:28:13,"40.73660924099386, -81.90191863104701",9.19,5.05,0.04
2026-05-12_09:28:13,"40.73660806752741, -81.90197294577956",11.68,5.05,0.03
2026-05-12_09:28:14,"40.7365948241204, -81.90191963687539",7.97,5.35,0.03
2026-05-12_09:28:15,"40.73659415356815, -81.90197395160794",11.65,5.31,0.04
2026-05-12_09:28:16,"40.73658040724695, -81.90191997215152",8.56,5.22,0.04
2026-05-12_09:28:16,"40.736579736694694, -81.90197428688407",11.55,5.25,0.03
2026-05-12_09:28:18,"40.73656682856381, -81.90191997215152",9.45,5.25,0.04
2026-05-12_09:28:18,"40.73656498454511, -81.90197395160794",11.45,5.28,0.03
2026-05-12_09:28:19,"40.736553417518735, -81.90191930159926",7.84,5.02,0.03
2026-05-12_09:28:19,"40.73655023239553, -81.90197361633182",10.66,5.02,0.04
2026-05-12_09:28:21,"40.73653950355947, -81.90191930159926",8.69,5.28,0.04
2026-05-12_09:28:21,"40.73653698898852, -81.90197328105569",10.76,5.25,0.04
2026-05-12_09:28:23,"40.73652491904795, -81.90191930159926",8.2,5.22,0.04
2026-05-12_09:28:23,"40.73652273975313, -81.90197361633182",10.04,5.22,0.04
2026-05-12_09:28:24,"40.73651033453643, -81.90191963687539",8.43,5.18,0.03
2026-05-12_09:28:24,"40.73650932870805, -81.90197395160794",10.79,5.18,0.04
2026-05-12_09:28:26,"40.73649608530104, -81.90192030742764",7.87,5.12,0.04
2026-05-12_09:28:26,"40.7364949118346, -81.9019746221602",9.97,5.12,0.03
2026-05-12_09:28:28,"40.736482506617904, -81.90192064270377",8.53,5.12,0.04
2026-05-12_09:28:28,"40.73648200370371, -81.9019746221602",10.76,4.27,0.03
2026-05-12_09:28:29,"40.736468425020576, -81.90192064270377",7.71,5.12,0.03
2026-05-12_09:28:30,"40.73646523989737, -81.9019746221602",12.34,5.35,0.03
2026-05-12_09:28:31,"40.736454175785184, -81.90192030742764",7.91,5.12,0.04
2026-05-12_09:28:31,"40.73645048774779, -81.9019746221602",10.99,5.15,0.03
2026-05-12_09:28:33,"40.73643992654979, -81.90191997215152",7.94,5.15,0.03
2026-05-12_09:28:33,"40.7364362385124, -81.90197428688407",9.88,5.15,0.03
2026-05-12_09:28:34,"40.73642550967634, -81.90192030742764",7.87,5.15,0.03
2026-05-12_09:28:35,"40.73642282746732, -81.9019746221602",12.37,5.15,0.04
2026-05-12_09:28:36,"40.73641092516482, -81.90192064270377",8.04,5.18,0.03
2026-05-12_09:28:36,"40.736408242955804, -81.90197529271245",11.09,5.18,0.03
2026-05-12_09:28:38,"40.736397514119744, -81.9019209779799",7.25,5.18,0.03
2026-05-12_09:28:38,"40.73639600537717, -81.90197529271245",9.22,3.58,0.02
2026-05-12_09:30:36,"40.73641092516482, -81.90187135711312",8.6,5.18,0.03
2026-05-12_09:30:37,"40.73642500676215, -81.901871021837",8.23,5.12,0.03
2026-05-12_09:30:39,"40.73643892072141, -81.901871021837",9.65,4.86,0.03
2026-05-12_09:30:41,"40.736456690356135, -81.90187001600862",9.81,5.05,0.03
2026-05-12_09:30:43,"40.73647026903927, -81.90187001600862",8.56,5.31,0.03
2026-05-12_09:30:44,"40.736481165513396, -81.90187001600862",9.42,2.72,0.02
2026-05-12_09:30:46,"40.736495750024915, -81.90186968073249",10.3,5.31,0.04
2026-05-12_09:30:48,"40.73650983162224, -81.90186934545636",9.68,5.15,0.03
2026-05-12_09:30:50,"40.73652190156281, -81.90186934545636",9.97,3.74,0.03
2026-05-12_09:30:52,"40.73653715662658, -81.90186934545636",8.2,5.02,0.03
2026-05-12_09:30:53,"40.73654972948134, -81.90186901018023",8.23,3.25,0.02
2026-05-12_09:30:55,"40.736560290679336, -81.90186867490411",8.43,4.17,0.03
2026-05-12_09:30:57,"40.73657705448568, -81.90186901018023",8.99,5.22,0.03
2026-05-12_09:30:59,"40.736595997586846, -81.90186699852347",8.96,5.15,0.03
2026-05-12_09:31:01,"40.73660823516548, -81.9018673337996",10.17,5.18,0.04
2026-05-12_09:31:02,"40.736617958173156, -81.90186766907573",10.1,2.2,0.01
2026-05-12_09:31:04,"40.73662935756147, -81.9018673337996",10.04,4.79,0.03
2026-05-12_09:31:05,"40.736643774434924, -81.90186766907573",10.86,5.25,0.04
2026-05-12_09:31:07,"40.73666003532708, -81.90186666324735",8.79,4.36,0.03
2026-05-12_09:31:10,"40.736675625666976, -81.90186666324735",10.01,5.25,0.03
2026-05-12_09:31:11,"40.736689204350114, -81.90186666324735",9.84,5.02,0.04
2026-05-12_09:31:13,"40.73670311830938, -81.90186699852347",9.65,5.15,0.04
2026-05-12_09:31:15,"40.736718038097024, -81.90186766907573",9.88,5.12,0.03
2026-05-12_09:31:17,"40.736733293160796, -81.90186800435185",9.22,5.22,0.03
2026-05-12_09:31:17,"40.73674284853041, -81.90186867490411",6.2,0.85,0.0
2026-05-12_09:31:31,"40.7368538249284, -81.90187001600862",7.51,5.28,0.03
2026-05-12_09:31:32,"40.736869079992175, -81.90187001600862",7.74,5.18,0.03
2026-05-12_09:31:34,"40.736882826313376, -81.90186934545636",8.46,5.15,0.04
2026-05-12_09:31:36,"40.73689623735845, -81.90186901018023",7.87,5.09,0.04
2026-05-12_09:31:37,"40.736910151317716, -81.90186901018023",8.14,5.05,0.04
2026-05-12_09:31:39,"40.7369249034673, -81.90186901018023",8.53,5.09,0.04
2026-05-12_09:31:41,"40.736939990893006, -81.90186833962798",8.37,5.31,0.04
2026-05-12_09:31:43,"40.736954575404525, -81.90186833962798",8.33,5.02,0.03
2026-05-12_09:31:44,"40.73696915991604, -81.90186833962798",8.37,5.05,0.03
2026-05-12_09:31:46,"40.73698424734175, -81.90186766907573",8.5,5.12,0.03
2026-05-12_09:31:48,"40.736998496577144, -81.9018673337996",8.23,5.22,0.03
2026-05-12_09:31:49,"40.73701358400285, -81.90186632797122",8.14,5.31,0.03
2026-05-12_09:31:51,"40.73702867142856, -81.90186532214284",7.81,5.18,0.02
2026-05-12_09:31:53,"40.73704275302589, -81.90186431631446",8.66,5.25,0.04
2026-05-12_09:31:54,"40.73705683462322, -81.90186398103833",8.01,5.28,0.04
2026-05-12_09:31:56,"40.7370715867728, -81.90186398103833",8.17,5.05,0.03
2026-05-12_09:31:58,"40.737086003646255, -81.9018636457622",8.3,5.31,0.03
2026-05-12_09:31:59,"40.73710075579584, -81.9018636457622",8.86,5.25,0.03
2026-05-12_09:32:01,"40.73711416684091, -81.90186398103833",8.89,5.22,0.03
2026-05-12_09:32:03,"40.73712958954275, -81.90186398103833",8.14,5.18,0.03
2026-05-12_09:32:04,"40.73714434169233, -81.9018636457622",7.48,5.18,0.03
2026-05-12_09:32:05,"40.73715255595744, -81.9018636457622",7.22,0.98,0.01
2026-05-12_09:32:07,"40.73716261424124, -81.9018636457622",7.12,4.49,0.02
2026-05-12_09:32:09,"40.73717719875276, -81.9018636457622",9.22,5.15,0.03
