DateTime,Position,Height (Feet),Width (Feet),Density (Gallons)
2026-04-28_09:59:53,"40.73701542802155, -81.90251072868705",7.81,5.28,0.03
2026-04-28_09:59:53,"40.73701526038349, -81.9024564139545",8.43,5.28,0.03
2026-04-28_09:59:55,"40.73703018017113, -81.90250972285867",7.74,5.22,0.03
2026-04-28_09:59:55,"40.73702950961888, -81.90245540812612",9.51,5.22,0.04
2026-04-28_09:59:57,"40.73704375885427, -81.90250938758254",8.76,5.25,0.03
2026-04-28_09:59:57,"40.73704459704459, -81.90245540812612",8.5,5.25,0.04
2026-04-28_09:59:57,"40.737052308395505, -81.90250938758254",8.99,1.12,0.01
2026-04-28_09:59:58,"40.73705934919417, -81.90245507284999",9.12,5.28,0.04
2026-04-28_09:59:59,"40.7370628695935, -81.90250938758254",7.87,3.77,0.02
2026-04-28_10:00:00,"40.737073766067624, -81.90245507284999",7.81,5.31,0.04
2026-04-28_10:00:00,"40.737076280638576, -81.90250938758254",8.1,4.17,0.02
2026-04-28_10:00:02,"40.737088015303016, -81.90245507284999",7.94,5.25,0.04
2026-04-28_10:00:02,"40.73709019459784, -81.90250972285867",8.63,3.87,0.02
2026-04-28_10:00:03,"40.737102096900344, -81.90245540812612",8.63,5.12,0.03
2026-04-28_10:00:04,"40.73710695840418, -81.9025100581348",8.73,5.12,0.02
2026-04-28_10:00:05,"40.737116346135736, -81.90245540812612",8.46,5.28,0.03
2026-04-28_10:00:06,"40.73712137527764, -81.90250938758254",7.81,5.12,0.02
2026-04-28_10:00:07,"40.737130260095, -81.90245507284999",7.94,5.22,0.03
2026-04-28_10:00:08,"40.73713763616979, -81.90250905230641",7.32,3.97,0.02
2026-04-28_10:00:09,"40.737144676968455, -81.90245473757386",8.01,5.18,0.03
2026-04-28_10:00:09,"40.73715322650969, -81.90250871703029",8.07,3.84,0.02
2026-04-28_10:00:10,"40.73715859092772, -81.90245440229774",7.97,5.15,0.02
2026-04-28_10:00:11,"40.73716529645026, -81.90250905230641",7.74,3.77,0.01
2026-04-28_10:00:12,"40.73717317543924, -81.90245473757386",8.17,5.12,0.03
2026-04-28_10:00:12,"40.73717954568565, -81.90250871703029",8.69,3.94,0.02
2026-04-28_10:00:13,"40.73718558065593, -81.90245473757386",7.91,3.08,0.01
2026-04-28_10:00:43,"40.73717552237213, -81.90234107896686",8.53,3.51,0.02
2026-04-28_10:00:43,"40.73717602528632, -81.90239539369941",9.48,5.18,0.02
2026-04-28_10:00:44,"40.73716261424124, -81.90239572897553",10.07,3.81,0.02
